location,date,mort
BE100,2015-01-01,31
BE100,2015-01-02,32
BE100,2015-01-03,27
BE100,2015-01-04,30
BE100,2015-01-05,27
BE100,2015-01-06,29
BE100,2015-01-07,32
BE100,2015-01-08,37
BE100,2015-01-09,44
BE100,2015-01-10,35
BE100,2015-01-11,27
BE100,2015-01-12,30
BE100,2015-01-13,25
BE100,2015-01-14,31
BE100,2015-01-15,18
BE100,2015-01-16,35
BE100,2015-01-17,33
BE100,2015-01-18,22
BE100,2015-01-19,22
BE100,2015-01-20,36
BE100,2015-01-21,32
BE100,2015-01-22,30
BE100,2015-01-23,43
BE100,2015-01-24,24
BE100,2015-01-25,39
BE100,2015-01-26,34
BE100,2015-01-27,37
BE100,2015-01-28,27
BE100,2015-01-29,29
BE100,2015-01-30,30
BE100,2015-01-31,25
BE100,2015-02-01,29
BE100,2015-02-02,47
BE100,2015-02-03,40
BE100,2015-02-04,33
BE100,2015-02-05,40
BE100,2015-02-06,28
BE100,2015-02-07,29
BE100,2015-02-08,25
BE100,2015-02-09,40
BE100,2015-02-10,30
BE100,2015-02-11,37
BE100,2015-02-12,35
BE100,2015-02-13,36
BE100,2015-02-14,35
BE100,2015-02-15,28
BE100,2015-02-16,27
BE100,2015-02-17,24
BE100,2015-02-18,28
BE100,2015-02-19,32
BE100,2015-02-20,39
BE100,2015-02-21,30
BE100,2015-02-22,48
BE100,2015-02-23,33
BE100,2015-02-24,51
BE100,2015-02-25,31
BE100,2015-02-26,27
BE100,2015-02-27,30
BE100,2015-02-28,27
BE100,2015-03-01,36
BE100,2015-03-02,31
BE100,2015-03-03,28
BE100,2015-03-04,26
BE100,2015-03-05,35
BE100,2015-03-06,39
BE100,2015-03-07,22
BE100,2015-03-08,42
BE100,2015-03-09,38
BE100,2015-03-10,26
BE100,2015-03-11,31
BE100,2015-03-12,27
BE100,2015-03-13,28
BE100,2015-03-14,21
BE100,2015-03-15,41
BE100,2015-03-16,29
BE100,2015-03-17,34
BE100,2015-03-18,22
BE100,2015-03-19,22
BE100,2015-03-20,27
BE100,2015-03-21,29
BE100,2015-03-22,28
BE100,2015-03-23,24
BE100,2015-03-24,25
BE100,2015-03-25,30
BE100,2015-03-26,23
BE100,2015-03-27,26
BE100,2015-03-28,31
BE100,2015-03-29,18
BE100,2015-03-30,33
BE100,2015-03-31,32
BE100,2015-04-01,20
BE100,2015-04-02,27
BE100,2015-04-03,34
BE100,2015-04-04,26
BE100,2015-04-05,28
BE100,2015-04-06,26
BE100,2015-04-07,30
BE100,2015-04-08,25
BE100,2015-04-09,20
BE100,2015-04-10,25
BE100,2015-04-11,22
BE100,2015-04-12,21
BE100,2015-04-13,22
BE100,2015-04-14,26
BE100,2015-04-15,26
BE100,2015-04-16,30
BE100,2015-04-17,25
BE100,2015-04-18,28
BE100,2015-04-19,21
BE100,2015-04-20,30
BE100,2015-04-21,18
BE100,2015-04-22,22
BE100,2015-04-23,27
BE100,2015-04-24,27
BE100,2015-04-25,28
BE100,2015-04-26,25
BE100,2015-04-27,30
BE100,2015-04-28,22
BE100,2015-04-29,15
BE100,2015-04-30,31
BE100,2015-05-01,26
BE100,2015-05-02,15
BE100,2015-05-03,28
BE100,2015-05-04,29
BE100,2015-05-05,22
BE100,2015-05-06,26
BE100,2015-05-07,28
BE100,2015-05-08,27
BE100,2015-05-09,28
BE100,2015-05-10,19
BE100,2015-05-11,22
BE100,2015-05-12,23
BE100,2015-05-13,14
BE100,2015-05-14,16
BE100,2015-05-15,24
BE100,2015-05-16,17
BE100,2015-05-17,31
BE100,2015-05-18,23
BE100,2015-05-19,24
BE100,2015-05-20,22
BE100,2015-05-21,20
BE100,2015-05-22,20
BE100,2015-05-23,24
BE100,2015-05-24,22
BE100,2015-05-25,22
BE100,2015-05-26,21
BE100,2015-05-27,23
BE100,2015-05-28,26
BE100,2015-05-29,31
BE100,2015-05-30,23
BE100,2015-05-31,25
BE100,2015-06-01,14
BE100,2015-06-02,24
BE100,2015-06-03,20
BE100,2015-06-04,25
