location,week,mort
BE100,2022-W01,203
BE100,2022-W02,172
BE100,2022-W03,207
BE100,2022-W04,214
BE100,2022-W05,223
BE100,2022-W06,209
BE100,2022-W07,164
BE100,2022-W08,152
BE100,2022-W09,136
BE100,2022-W10,205
BE100,2022-W11,188
BE100,2022-W12,162
BE100,2022-W13,178
BE100,2022-W14,176
BE100,2022-W15,193
BE100,2022-W16,179
BE100,2022-W17,149
BE100,2022-W18,169
BE100,2022-W19,142
BE100,2022-W20,161
BE100,2022-W21,148
BE100,2022-W22,147
BE100,2022-W23,149
BE100,2022-W24,168
BE100,2022-W25,165
BE100,2022-W26,153
BE100,2022-W27,151
BE100,2022-W28,140
BE100,2022-W29,199
BE100,2022-W30,168
BE100,2022-W31,161
BE100,2022-W32,177
BE100,2022-W33,149
BE100,2022-W34,164
BE100,2022-W35,138
BE100,2022-W36,170
BE100,2022-W37,143
BE100,2022-W38,135
BE100,2022-W39,150
BE100,2022-W40,180
BE100,2022-W41,151
BE100,2022-W42,170
BE100,2022-W43,186
BE100,2022-W44,166
BE100,2022-W45,165
BE100,2022-W46,144
BE100,2022-W47,185
BE100,2022-W48,170
BE100,2022-W49,154
BE100,2022-W50,212
BE100,2022-W51,234
BE100,2022-W52,217
BE100,2023-W01,212
BE100,2023-W02,224
BE100,2023-W03,171
BE100,2023-W04,159
BE100,2023-W05,185
BE100,2023-W06,187
BE100,2023-W07,168
BE100,2023-W08,159
BE100,2023-W09,166
BE100,2023-W10,170
BE100,2023-W11,164
BE100,2023-W12,151
BE100,2023-W13,178
BE100,2023-W14,166
BE100,2023-W15,170
BE100,2023-W16,158
BE100,2023-W17,167
BE100,2023-W18,149
BE100,2023-W19,174
BE100,2023-W20,158
BE100,2023-W21,134
BE100,2023-W22,150
BE100,2023-W23,164
BE100,2023-W24,179
BE100,2023-W25,120
BE100,2023-W26,162
BE100,2023-W27,151
BE100,2023-W28,150
BE100,2023-W29,142
BE100,2023-W30,138
BE100,2023-W31,144
BE100,2023-W32,141
BE100,2023-W33,147
BE100,2023-W34,162
BE100,2023-W35,157
BE100,2023-W36,153
BE100,2023-W37,158
BE100,2023-W38,147
BE100,2023-W39,165
BE100,2023-W40,175
BE100,2023-W41,155
BE100,2023-W42,175
BE100,2023-W43,176
BE100,2023-W44,159
BE100,2023-W45,170
BE100,2023-W46,185
BE100,2023-W47,150
BE100,2023-W48,186
BE100,2023-W49,209
BE100,2023-W50,199
BE100,2023-W51,202
BE100,2023-W52,198
BE100,2024-W01,204
BE100,2024-W02,172
BE100,2024-W03,207
BE100,2024-W04,182
BE100,2024-W05,188
BE100,2024-W06,170
BE100,2024-W07,197
BE100,2024-W08,161
BE100,2024-W09,183
BE100,2024-W10,197
BE100,2024-W11,143
BE100,2024-W12,148
BE100,2024-W13,165
BE100,2024-W14,185
BE100,2024-W15,156
BE100,2024-W16,124
BE100,2024-W17,155
BE100,2024-W18,140
BE100,2024-W19,169
BE100,2024-W20,151
BE100,2024-W21,139
BE100,2024-W22,143
BE100,2024-W23,149
BE100,2024-W24,156
BE100,2024-W25,163
BE100,2024-W26,189
BE100,2024-W27,150
BE100,2024-W28,147
BE100,2024-W29,143
BE100,2024-W30,151
BE100,2024-W31,159
BE100,2024-W32,141
BE100,2024-W33,173
BE100,2024-W34,161
BE100,2024-W35,150
BE100,2024-W36,126
BE100,2024-W37,154
BE100,2024-W38,152
BE100,2024-W39,181
BE100,2024-W40,152
BE100,2024-W41,159
BE100,2024-W42,160
BE100,2024-W43,171
BE100,2024-W44,138
BE100,2024-W45,161
BE100,2024-W46,159
BE100,2024-W47,175
BE100,2024-W48,165
BE100,2024-W49,187
BE100,2024-W50,183
BE100,2024-W51,183
BE100,2024-W52,205
BE211,2022-W01,217
BE211,2022-W02,172
BE211,2022-W03,187
BE211,2022-W04,225
BE211,2022-W05,238
BE211,2022-W06,248
BE211,2022-W07,221
BE211,2022-W08,185
BE211,2022-W09,209
BE211,2022-W10,200
BE211,2022-W11,213
BE211,2022-W12,212
BE211,2022-W13,194
BE211,2022-W14,205
BE211,2022-W15,193
BE211,2022-W16,202
BE211,2022-W17,216
BE211,2022-W18,195
BE211,2022-W19,175
BE211,2022-W20,161
BE211,2022-W21,167
BE211,2022-W22,201
BE211,2022-W23,164
BE211,2022-W24,169
BE211,2022-W25,180
BE211,2022-W26,158
BE211,2022-W27,189
BE211,2022-W28,176
BE211,2022-W29,179
BE211,2022-W30,177
BE211,2022-W31,181
BE211,2022-W32,189
BE211,2022-W33,191
BE211,2022-W34,170
BE211,2022-W35,163
BE211,2022-W36,183
BE211,2022-W37,173
BE211,2022-W38,149
